#{"t_start": 1680811236.1065798, "env_id": null}
r,l,t
49182.0,3807,3561.875745
47125.5,4127,3565.989444
51232.0,4216,3570.101282
49346.5,4662,3574.095451
53314.5,4473,3580.244282
49043.0,3612,3584.680115
49604.0,5270,3589.275956
49614.0,5372,3594.253419
49219.0,4189,3597.897922
47174.5,4005,3601.727288
47035.0,3635,3606.412361
47167.5,4190,3611.861681
57925.0,5927,3617.230286
53890.0,6181,3623.198217
51770.5,5954,3628.924417
51334.0,4376,3633.174588
47029.5,3671,3638.625297
47456.5,5076,3644.732177
53169.5,3878,3648.439715
49131.5,3606,3651.964239
44853.5,2898,3654.478006
47040.5,3561,3657.982419
53743.0,5467,3670.529633
49463.5,4919,3675.383264
47360.0,4845,3679.84665
44816.5,2793,3682.616466
51613.0,5162,3687.153434
51250.0,4363,3693.115261
48923.0,3185,3696.860738
47159.5,4197,3700.788568
49145.0,3862,3704.386381
46814.5,2849,3706.877418
47075.5,3730,3710.500902
45031.0,3614,3715.729843
47234.0,4084,3721.807707
51752.5,5539,3727.149091
54210.0,6888,3733.633516
44702.5,2510,3735.996277
45009.0,3455,3739.148474
47321.0,4523,3744.957672
47295.5,4361,3749.760256
42682.0,2675,3752.257797
49340.5,4554,3756.150418
53788.0,6157,3761.404327
49220.0,4144,3765.037698
49423.5,4807,3772.330216
42981.0,3541,3775.85543
44911.5,3244,3778.784692
51285.0,4410,3782.950786
55399.0,4481,3787.244769
51414.0,4670,3791.658083
53283.5,4085,3797.750156
44822.0,2805,3801.152387
46771.0,2724,3803.565682
49354.5,4282,3807.401718
53668.0,5466,3812.305657
49521.0,5155,3817.186366
51056.0,3620,3827.465668
49341.0,4539,3831.599331
51027.0,3309,3834.555795
53409.0,5029,3839.477326
46942.0,3171,3842.351714
47052.0,3875,3847.233422
51119.5,3873,3852.540241
47138.0,3972,3856.086201
53471.0,4781,3860.338245
45042.0,3688,3863.361771
53704.0,5384,3867.78852
55587.5,4957,3874.403518
44861.5,3057,3877.418738
49200.5,4125,3881.148512
51201.5,4427,3885.446228
55685.0,5335,3890.468522
49104.0,3825,3894.068627
45217.0,4423,3900.991344
47116.5,3706,3904.759224
53492.5,4692,3908.971375
47020.0,3389,3911.971564
53413.0,4330,3916.064438
47118.0,3615,3919.446537
49080.0,3565,3924.543597
49188.0,3907,3929.50201
48944.0,3228,3932.312469
51368.5,4610,3936.859243
51322.5,4280,3941.014361
47066.5,3529,3944.467335
40780.0,3015,3949.248851
49503.0,4933,3956.544851
55689.0,5337,3961.46943
49246.0,3952,3964.820671
51548.0,5336,3970.126947
51147.0,3814,3973.817877
44891.5,3052,3983.002251
47612.0,5207,3987.622328
47099.5,3615,3991.071735
51220.0,3989,3994.637866
54081.0,6746,4000.954447
45079.0,3963,4006.671805
51460.5,4858,4012.743382
49405.0,4769,4017.448839
47025.0,3354,4020.436994
51555.5,4996,4025.235763
53734.0,5612,4030.738593
49028.5,3771,4035.775282
53124.5,3728,4041.270581
49076.5,3507,4044.615121
44926.5,3516,4047.826265
49227.0,4191,4051.599601
54218.5,7315,4058.587456
51263.0,4066,4068.961804
49444.5,4817,4073.736976
46881.5,3013,4076.466335
51299.5,4140,4080.290456
42771.0,2676,4082.701686
42912.0,3192,4087.613229
46876.0,3107,4092.991807
49090.0,3606,4096.520254
51450.0,4785,4101.002004
49097.0,3677,4104.389404
44944.0,3305,4107.144306
51099.5,3819,4117.197663
55779.5,5482,4121.985591
49288.0,4712,4126.614584
53444.5,4659,4130.949674
51723.0,5699,4136.465373
51428.5,4682,4148.072709
51403.0,4812,4152.545357
51446.5,4584,4156.848777
49411.5,4685,4161.482522
51478.5,4870,4166.204871
47051.5,3717,4171.892278
49164.5,3772,4176.831737
49066.5,3722,4179.967706
51370.5,4403,4183.917632
55373.5,4361,4187.840329
51571.0,5113,4192.507186
42847.0,2930,4197.076523
47035.5,3344,4202.878606
40684.0,2424,4205.201018
47132.5,3687,4208.513601
49487.0,4794,4212.963773
51276.5,4166,4216.726173
49372.5,4764,4223.227892
55782.0,5711,4228.449411
49190.0,3970,4232.219838
46845.0,2876,4234.996412
49223.5,4085,4238.761855
62502.5,7557,4245.412642
49111.0,3705,4250.984838
47297.5,4407,4257.148888
44898.5,3016,4259.826374
44966.0,3238,4262.68569
49534.5,5234,4267.670813
42825.0,2805,4270.289668
51177.0,3747,4280.427643
49602.5,5397,4285.584457
46919.5,3179,4288.735825
42879.5,3186,4291.647891
49006.5,3245,4294.652549
49325.0,4448,4305.271864
53280.0,3983,4309.126723
44968.0,3341,4312.45469
46852.5,2933,4315.219518
55372.5,4409,4319.081321
46951.0,3260,4324.143621
53361.0,4534,4330.890452
49260.5,4282,4334.589438
42832.0,2967,4337.504699
51247.0,4103,4341.213471
53446.0,4585,4345.703515
49210.0,4018,4351.312025
44883.5,3157,4355.240393
51367.5,4451,4359.238178
57986.0,6089,4365.180909
44985.0,3571,4368.77119
49118.0,3721,4372.385664
49227.0,4049,4383.272559
49140.5,3850,4386.752275
59801.0,5561,4391.925779
46943.5,3259,4395.108073
46930.0,3269,4398.07438
47018.0,3497,4402.561851
47036.0,3781,4408.132369
45094.5,3587,4411.504725
51572.5,5146,4416.280906
45035.5,3513,4419.69944
56187.0,6581,4425.885076
44984.0,3231,4430.800463
51213.0,4062,4436.807747
60795.0,8133,4444.191638
53195.5,3891,4447.775745
48967.5,3307,4451.076823
46905.0,3154,4454.058897
51096.5,3729,4458.930839
49137.0,3658,4464.638673
44927.5,3334,4467.56238
49277.5,4210,4471.329741
54136.0,6840,4477.907235
53994.0,6148,4483.583781
48958.5,3337,4494.053968
51325.0,4367,4498.242691
47372.5,4660,4502.729031
36634.5,2422,4505.044698
56089.5,6886,4511.523436
49395.0,4699,4517.862786
47366.0,4404,4522.221995
49177.0,4114,4526.239818
49360.5,4752,4530.902051
49417.5,4622,4535.385567
49001.5,3250,4538.65755
59661.5,4951,4545.53857
57769.0,5729,4550.850121
45183.5,4384,4554.752514
47349.0,4774,4558.963713
51143.5,3775,4562.582583
53021.0,3523,4565.748737
41072.0,3763,4570.862698
53309.5,4200,4576.717364
43029.5,3857,4580.529176
